BTUNGPLHEAT,KWHOTH,KWHSPH,KWHCOL,KWHWTH,SQFTEST_x,FUELHEAT_x,TYPEHUQ_x,MONPOOL,ELWATER_x,BEDROOMS,kwh
-1.097328,8386.404,-22.910213,3409.909,74.8215,2100,1,2,-2,0,4,12521.48
-0.050744317,1682.5039,1808.1749,775.1575,-54.23075,590,5,5,-2,0,1,5243.05
0.20742415,1457.4348,13.326539,1350.2739,122.73799,900,1,5,-2,0,1,2387.64
0.28350925,5045.1416,3161.856,2164.2632,121.725525,2100,1,2,-2,0,2,9275.07
-0.21282041,3201.9924,-57.993347,1585.9147,47.26846,800,1,5,-2,0,1,5869.7
-0.86615634,9391.593,-64.48678,7303.002,62.996426,3010,1,2,-2,0,4,14351.64
0.4941652,8659.774,1645.0538,5377.352,513.4835,1200,1,2,-2,0,3,14480.35
0.10165528,7145.3916,797.7452,-480.1297,4260.6704,900,5,5,-2,1,2,12147.3
0.09238897,973.1995,739.7943,649.2415,965.3445,750,5,5,-2,1,1,3969.96
2.2770514,1435.3591,181.7522,1447.6367,1608.1473,760,5,5,-2,1,2,3632.4
0.6209912,4367.9985,-50.629208,2294.8982,-8.3478775,1630,1,2,-2,0,2,7634.39
1.2669357,6707.3354,-16.389643,3181.7566,-72.77416,3080,1,2,-2,0,5,9657.64
19.386517,7242.0776,-7.4082823,4117.099,-49.662888,2000,1,2,-2,0,4,9639.93
0.48026347,3722.3374,7074.4043,668.31396,1252.0726,1450,5,2,-2,1,4,8967.17
0.2723672,3536.572,-141.6263,417.4491,56.03251,1100,3,2,-2,0,3,3524.72
-17.691254,5139.5615,1588.4163,1619.4796,1545.787,1750,5,3,12,1,3,9922.22
-2.3588743,3605.8398,37.36929,1641.3242,-224.33034,1910,3,2,-2,0,3,9002.87
-1.3954662,5142.2607,-33.64952,549.123,-68.44292,2650,1,2,-2,0,3,5774.08
-2.4167929,6094.716,17.036018,2321.8633,2323.907,990,1,3,-2,1,2,9972.38
-0.061143562,5715.8457,1221.4468,5254.4053,2624.9438,1300,5,2,-2,1,3,15768.8
-0.039214015,1404.2124,31.491207,1265.9745,97.96643,1230,1,3,-2,0,2,1594.69
1.2270457,1916.9523,2399.4004,1209.3517,734.70496,1130,5,5,-2,1,2,6443.51
0.6452457,8835.915,40.44782,789.8156,16.84336,2730,2,2,-2,0,4,11015.2
0.61656123,4299.9644,9476.423,1106.3103,3073.91,2640,5,2,-2,1,3,9956.64
-0.026638899,4937.836,470.17117,1916.1337,-27.124508,950,1,2,-2,0,2,5103.92
65.00036,6244.921,666.59827,489.60712,4132.207,1620,7,2,4,1,4,12737.88
11.797217,8596.411,855.88556,1368.5774,-178.73932,3000,1,2,-2,0,5,9976.59
-6.260041,4805.7803,36.50554,658.7091,2860.2476,1490,3,2,-2,1,3,10247.86
0.21167748,4861.572,1157.9894,4019.9626,2193.2502,1810,5,2,-2,1,2,15747.04
-0.6965372,6202.1597,152.46313,1488.3752,3036.2205,2500,7,2,-2,1,4,11907.74
0.012077006,5795.7593,9.862945,1488.0103,30.66835,1900,1,2,-2,0,3,5930.6
0.3446787,4438.0156,391.9953,1544.0366,-14.580764,990,1,2,-2,0,3,8819.63
-22.109888,12037.932,75.6523,9367.453,3305.488,3200,-2,2,5,1,5,26763.69
-0.26010537,5750.5986,27.1581,2336.8784,-2.982837,2750,1,2,-2,0,3,11758.93
-0.8042343,5561.696,1603.1935,45.648098,-49.600243,1350,1,2,-2,0,4,9666.78
0.47283667,4899.9604,10.525059,3477.1296,2340.7002,1600,1,2,-2,1,3,8167.71
-1.4085444,5499.0127,601.24304,1093.4408,-8.895832,2250,1,3,-2,0,2,4423.71
1.7938848,9580.587,623.70715,4093.261,-11.547466,3300,1,2,-2,0,5,22773.26
0.25377423,3089.4434,339.83832,947.0444,-2.2691586,1700,1,3,-2,0,3,1721.15
-0.12099793,4279.4897,10465.578,739.7337,2373.8064,2200,5,2,-2,1,3,13836.75
-0.18017948,6527.4243,-22.45715,3132.4944,-97.08062,2000,1,2,-2,0,3,13253.26
3.0726733,3887.0789,29.941772,345.33463,2196.5396,2000,-2,2,-2,1,4,5712.82
1.0916224,4944.794,-105.42824,1103.8712,64.10321,780,2,1,-2,0,3,5938.58
0.35625306,3984.905,532.81946,-236.2703,-82.5429,1150,7,2,-2,0,2,4134.59
-2.3120196,4762.687,3646.4714,913.9038,2142.9673,1400,5,2,-2,1,3,6002.88
-10.151557,7483.8926,298.85208,608.30084,37.16364,1500,1,2,-2,0,3,9658.17
-0.7255177,5928.851,-85.49773,2418.3596,85.939835,1300,1,3,-2,0,4,9046.21
0.044425435,2809.268,-62.863388,-263.02158,-88.10887,1560,1,3,-2,0,3,5265.1
0.03799992,3031.5308,2836.47,1183.939,1706.8877,1100,5,3,-2,1,3,9367.16
-0.8584791,2751.9846,149.50223,4145.871,1366.9857,2800,1,2,-2,1,4,4579.27
-3.797657,4163.1216,-54.285248,773.6905,3077.2405,2500,1,2,-2,1,4,13204.43
2.623021,4787.993,8838.195,2279.8733,1958.2129,2150,5,2,-2,1,3,4540.79
-0.07853118,4379.792,316.9542,2253.9028,1322.9851,1400,1,3,-2,1,3,7159.45
0.60262436,4946.7324,298.90103,1991.6243,-97.21896,900,1,1,-2,0,2,8370.64
-5.237712,6392.6475,856.3478,2514.0286,-19.156685,5510,1,2,-2,0,5,8654.3
1.8939972,3581.3499,4261.785,1477.2806,2097.5803,1000,5,2,-2,1,3,9227.24
0.5119646,1982.7788,-57.39162,576.6753,45.22229,700,1,4,-2,0,1,4472.09
-1.7818972,8454.378,12.1012535,1408.2948,-25.12126,3000,1,2,-2,0,5,12365.78
0.34484765,3566.999,1288.5337,913.0501,2429.6223,750,5,4,-2,1,1,7836.28
2.0754259,4777.1685,426.67416,900.7061,-63.442783,1800,1,2,-2,0,2,5894.3
0.13253154,2224.2373,2002.4968,-498.5343,6463.742,770,5,3,-2,1,4,11449.39
-0.33773327,1595.8502,1988.4712,-105.34312,1705.262,980,5,5,-2,1,2,5891.2
-183.97824,6703.6113,-29.141811,3021.8752,-52.132683,2070,1,2,7,0,4,8912.72
0.1851628,5575.9795,4456.359,5049.313,8796.121,2200,5,1,-2,1,3,25373.39
0.9149178,4077.7295,123.26889,1014.15466,3626.539,600,1,1,-2,1,2,7195.98
1.0398592,9318.974,4875.4697,13075.169,-171.38428,2100,5,2,-2,0,4,38330.12
0.012962405,5013.878,-33.989826,1394.707,-6.722833,1800,3,2,-2,0,3,9096.26
-0.28639647,4519.3813,42.271442,982.4444,-96.22229,1600,3,2,-2,0,3,4561.67
-0.18354402,3538.1685,111.49585,410.93506,107.21889,1100,1,4,-2,0,2,3311.96
-0.5397158,3550.9663,453.80087,-14.7082615,-83.5883,1550,1,3,-2,0,3,4575.84
0.29018664,1851.4684,2218.5618,437.05072,3241.424,580,5,5,-2,1,2,4507
-0.66538244,2362.2605,956.11835,1282.1978,4635.073,1150,5,5,-2,1,2,7006.92
-1.2384577,5967.1367,360.0144,842.30493,7235.43,2160,1,2,-2,1,4,16490.73
-0.8504503,4652.284,1322.4407,8222.128,2806.2595,1600,5,2,-2,1,3,15916.95
